epoch,beta,beta_event,train_contrastive_loss,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_contrastive_loss,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc
0,0.0,→hold,4.304758262919808,0.0,0.0,0.0,0.0,5.170811044189321,0.0,0.0,0.0,0.0
1,0.0,→hold,4.097537034428762,0.0,0.0,0.0,0.0,5.1586617277814195,0.0,0.0,0.0,0.0
2,0.0,→hold,4.011796401360791,0.0,0.0,0.0,0.0,5.112095348762743,0.0,0.0,0.0,0.0
3,0.0,→hold,3.9345243442558244,0.0,0.0,0.0,0.0,5.099103509605705,0.0,0.0,0.0,0.0
4,0.0,→hold,3.8825205186170018,0.0,0.0,0.0,0.0,5.092521820233498,0.0,0.0,0.0,0.0
5,0.0,→hold,3.8407213325272065,0.0,0.0,0.0,0.0,5.098334242255141,0.0,0.0,0.0,0.0
6,0.0,→hold,3.8044027145751222,0.0,0.0,0.0,0.0,5.104162562977184,0.0,0.0,0.0,0.0
7,0.0,→hold,3.7787057217009767,0.0,0.0,0.0,0.0,5.124715148628532,0.0,0.0,0.0,0.0
8,0.0,→hold,3.7515641652181477,0.0,0.0,0.0,0.0,5.089161482724276,0.0,0.0,0.0,0.0
9,0.0,→hold,3.737037039659694,0.0,0.0,0.0,0.0,5.082277444533972,0.0,0.0,0.0,0.0
10,0.0,→hold,3.706880995756138,0.0,0.0,0.0,0.0,5.103270728866775,0.0,0.0,0.0,0.0
11,0.0,→hold,3.6923787793713414,0.0,0.0,0.0,0.0,5.12441653090638,0.0,0.0,0.0,0.0
12,0.0,→hold,3.682112475355228,0.0,0.0,0.0,0.0,5.115971951257615,0.0,0.0,0.0,0.0
13,0.0,→hold,3.6572818093671056,0.0,0.0,0.0,0.0,5.121409789824383,0.0,0.0,0.0,0.0
14,0.0,→hold,3.647284735034326,0.0,0.0,0.0,0.0,5.113664574437327,0.0,0.0,0.0,0.0
15,0.0,→hold,3.634152936078831,0.0,0.0,0.0,0.0,5.111452426745262,0.0,0.0,0.0,0.0
16,0.0,→hold,3.621551017704124,0.0,0.0,0.0,0.0,5.117442312694731,0.0,0.0,0.0,0.0
17,0.0,→hold,3.610706528075441,0.0,0.0,0.0,0.0,5.142414786598899,0.0,0.0,0.0,0.0
18,0.0,→hold,3.6015696311425307,0.0,0.0,0.0,0.0,5.152154707805419,0.0,0.0,0.0,0.0
19,0.0,→hold,3.5904181209153045,0.0,0.0,0.0,0.0,5.130502901035986,0.0,0.0,0.0,0.0
20,0.0,→hold,3.5800311385514494,0.0,0.0,0.0,0.0,5.134484604839638,0.0,0.0,0.0,0.0
21,0.0,→hold,3.574373318049722,0.0,0.0,0.0,0.0,5.179898086564365,0.0,0.0,0.0,0.0
22,0.0,→hold,3.5640577110701694,0.0,0.0,0.0,0.0,5.139922389736423,0.0,0.0,0.0,0.0
23,0.0,→hold,3.5565027648103453,0.0,0.0,0.0,0.0,5.137925744572759,0.0,0.0,0.0,0.0
24,0.0,→hold,3.5467872768105146,0.0,0.0,0.0,0.0,5.15824234330809,0.0,0.0,0.0,0.0
25,0.0,→hold,3.541757675559221,0.0,0.0,0.0,0.0,5.162255470886891,0.0,0.0,0.0,0.0
26,0.0,→hold,3.5317535003502214,0.0,0.0,0.0,0.0,5.14452956971668,0.0,0.0,0.0,0.0
27,0.0,→hold,3.5182611057144437,0.0,0.0,0.0,0.0,5.1330736808446575,0.0,0.0,0.0,0.0
28,0.0,→hold,3.515227693854692,0.0,0.0,0.0,0.0,5.172729099983777,0.0,0.0,0.0,0.0
29,0.0,→hold,3.5064475876128602,0.0,0.0,0.0,0.0,5.179518142303863,0.0,0.0,0.0,0.0
30,0.0,→hold,3.5051279693306565,0.0,0.0,0.0,0.0,5.1947126058272985,0.0,0.0,0.0,0.0
31,0.0,→hold,3.4943226514462227,0.0,0.0,0.0,0.0,5.159801792788815,0.0,0.0,0.0,0.0
32,0.0,→hold,3.4888269521519097,0.0,0.0,0.0,0.0,5.197900460395978,0.0,0.0,0.0,0.0
33,0.0,→hold,3.485154626183881,0.0,0.0,0.0,0.0,5.161358143860127,0.0,0.0,0.0,0.0
34,0.0,→hold,3.4758221492082058,0.0,0.0,0.0,0.0,5.192517016357158,0.0,0.0,0.0,0.0
