epoch,train_loss,train_pres_loss,train_type_loss,val_loss,val_pres_loss,val_type_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.1082084311730667,0.3359154617754787,0.7722929693975878,1.055853191174959,0.34144361923936334,0.7144095719355956,0.559,0.5517,0.4389,0.7117
1,1.0853352837600505,0.32271080118275447,0.7626244825772961,1.060510503288121,0.3387148320840006,0.7217956712041205,0.8742,0.8113,0.4609,0.7212
2,1.0825319568421543,0.3213027023194007,0.7612292545227537,1.0597880778220223,0.3375542553508051,0.7222338224712171,0.8707,0.8102,0.4654,0.7226
3,1.0809295411451425,0.32111227101293105,0.7598172701322116,1.0615602318930164,0.3372605130943235,0.7242997187986928,0.8682,0.8084,0.4699,0.7225
4,1.0816514599544615,0.32140305820131176,0.7602484017531499,1.061114197622706,0.3373154405081371,0.7237987571145689,0.8643,0.805,0.475,0.7259
5,1.0815545039088403,0.3212448241539912,0.7603096797548491,1.0587225620766425,0.33719233462685033,0.7215302274497922,0.8666,0.807,0.4767,0.7279
6,1.083100174719206,0.32143703632708887,0.7616631383921171,1.062248187712355,0.33716008405606174,0.7250881036562933,0.8604,0.8015,0.482,0.727
7,1.082287492423222,0.32121883969091924,0.7610686527323027,1.0703958315862514,0.337055977691904,0.7333398538943473,0.8665,0.8069,0.4947,0.7278
8,1.0818575345552885,0.3212879292212367,0.7605696053340517,1.0620593549141923,0.33713246184372836,0.724926893070464,0.8659,0.8064,0.4815,0.7273
9,1.0820653293113809,0.32106677796543437,0.7609985513459466,1.0678187024230112,0.3370613457423498,0.7307573566806613,0.8623,0.8033,0.4906,0.7257
10,1.0805454405928796,0.32133755064137104,0.7592078899515087,1.0648517978488574,0.337096998896295,0.7277547989525623,0.8621,0.8031,0.4948,0.7311
11,1.0812390476702378,0.3213086115586663,0.7599304361115716,1.0643156479600395,0.33711270150055184,0.7272029464594876,0.8674,0.8077,0.4828,0.7246
12,1.0824751512441457,0.321375009551921,0.7611001416922248,1.06262855846796,0.3372892976797849,0.7253392607881752,0.8629,0.8038,0.4798,0.7203
13,1.0810043375435179,0.3209196136231764,0.7600847239203415,1.066286842578666,0.33691258311601885,0.7293742594626471,0.8656,0.8061,0.489,0.7299
14,1.0806948310184226,0.3209140686520847,0.7597807623663378,1.0628182154943409,0.3367970854952065,0.7260211299991344,0.8666,0.8071,0.4822,0.7255
15,1.0823245668284773,0.3214289819530214,0.7608955848754559,1.0678889097599442,0.3373505864447174,0.7305383233152268,0.8624,0.8035,0.4819,0.7154
16,1.081584434610463,0.3213119102093522,0.7602725244011107,1.0602791910356433,0.33732461268882014,0.7229545783468231,0.8631,0.804,0.4803,0.7255
17,1.0811533839380076,0.3211748644274805,0.7599785195105272,1.066377211805856,0.33723027025893787,0.7291469415469183,0.8711,0.8105,0.4899,0.7228
18,1.0813715198628149,0.3212306176952089,0.7601409021676061,1.0593844596038564,0.3370452204569555,0.722339239146901,0.8611,0.8023,0.4842,0.7283
19,1.083356943307568,0.3210893625922165,0.7622675807153515,1.0683378182619891,0.33710849582323404,0.7312293224387552,0.8661,0.8065,0.4963,0.7293
20,1.0828128076042358,0.3210674255532991,0.7617453820509367,1.062361445123139,0.33703689363854744,0.7253245514845914,0.8627,0.8037,0.4833,0.7224
21,1.0829462714157307,0.32110261790632255,0.7618436535094082,1.067988514569988,0.3370958153891101,0.7308926991808777,0.8668,0.8072,0.4931,0.7229
22,1.0811413226140272,0.3212197908355956,0.7599215317784317,1.0651561705359462,0.33716560004490564,0.7279905704910405,0.8666,0.807,0.4897,0.7243
23,1.0810792351274972,0.32124439917445496,0.7598348359530421,1.060805851732925,0.3371502989877294,0.7236555527451957,0.86,0.8012,0.4916,0.7304
24,1.082111510420984,0.32134779062448193,0.760763719796502,1.0692215599842019,0.3371427329953688,0.7320788269888331,0.8625,0.8035,0.4992,0.7273
25,1.0816158021476603,0.32142592614778476,0.7601898759998756,1.065721992640614,0.33722885427712734,0.7284931383634868,0.8612,0.8023,0.4903,0.7189
26,1.081335032334062,0.321079264268951,0.7602557680651111,1.059190068548736,0.3371128071708362,0.7220772613779,0.8638,0.8046,0.482,0.7245
27,1.08206818274541,0.32150189629916487,0.760566286446245,1.063238276008754,0.3373518967562435,0.7258863792525104,0.863,0.804,0.4847,0.715
28,1.0803562235136563,0.3209435338999295,0.7594126896137268,1.0621655535499805,0.33713594896311244,0.725029604586868,0.872,0.8109,0.4886,0.7241
29,1.0810144156296626,0.3213508666668394,0.7596635489628233,1.0700733470124222,0.3372424012075831,0.732830945804839,0.8654,0.806,0.5102,0.728
30,1.0817756146904012,0.32110976160995525,0.760665853080446,1.063629488535535,0.33704027508764717,0.7265892134478878,0.8655,0.806,0.487,0.7164
31,1.0804424336481473,0.32097785605675977,0.7594645775913876,1.0577059294048108,0.3367552823307111,0.7209506470740997,0.8646,0.8053,0.4849,0.7271
32,1.0816411592599884,0.3212192849075763,0.7604218743524122,1.0619331423265452,0.33712865771349115,0.724804484613054,0.8604,0.8016,0.4886,0.7252
33,1.0817597690248364,0.3211247573164477,0.7606350117083885,1.0656340960980781,0.3370071368864699,0.7286269592116084,0.8654,0.806,0.496,0.729
34,1.0818958231877902,0.3213305081233422,0.7605653150644479,1.0771743689877835,0.33715327888974855,0.740021090098035,0.8624,0.8034,0.5981,0.7433
35,1.082056971380502,0.3213206121712844,0.7607363592092176,1.0677064171788435,0.3371372381405817,0.7305691790382618,0.8612,0.8023,0.4905,0.7198
36,1.081619384118037,0.3211735490146303,0.7604458351034068,1.0620105986449857,0.33696374866770906,0.7250468499772766,0.8585,0.7998,0.4852,0.7222
37,1.0824594067641848,0.32093112854489597,0.7615282782192888,1.0672442998912526,0.3368362469025926,0.73040805298866,0.864,0.8047,0.4916,0.7214
38,1.0809815303084072,0.3211832021212388,0.7597983281871684,1.0633284127613183,0.3369850306629804,0.7263433820983379,0.8648,0.8055,0.4877,0.7204
39,1.0808575779436753,0.3210004811577835,0.7598570967858919,1.068728586973576,0.3369394656363617,0.7317891213372143,0.8681,0.8083,0.5368,0.7262
40,1.0816576120391765,0.32128438772510154,0.760373224314075,1.0688884449797653,0.33720203515895514,0.7316864098208102,0.8624,0.8034,0.502,0.7079
41,1.0817023967874462,0.3214050212020267,0.7602973755854194,1.067270907668856,0.33723084087847344,0.7300400667903826,0.8638,0.8046,0.4864,0.6986
42,1.0817381962540928,0.3214044747997658,0.7603337214543269,1.0668777085407288,0.33728923427761426,0.7295884742631146,0.8675,0.8079,0.4885,0.7063
43,1.0813454139770184,0.32138810296906084,0.7599573110079576,1.0746560770388784,0.33719787174975113,0.7374582052891274,0.8599,0.8011,0.5277,0.7095
44,1.0808730795781871,0.32095648565722396,0.7599165939209632,1.0693590581582195,0.3369076800148243,0.7324513781433951,0.8653,0.806,0.5109,0.7146
45,1.0817792978463818,0.321564165919782,0.7602151319265998,1.0648949747270495,0.337367324617761,0.7275276501092884,0.8607,0.8019,0.4924,0.7087
46,1.0818460196335689,0.32127301446322737,0.7605730051703415,1.066067555604549,0.337186057811959,0.72888149779259,0.8657,0.8062,0.4998,0.7179
47,1.0812862203987588,0.32098649730732964,0.760299723091429,1.0677950745474267,0.3370170910272572,0.7307779835201696,0.8604,0.8016,0.4937,0.7084
48,1.081117503522878,0.32114068393049566,0.7599768195923823,1.0644989436353014,0.3370743431873269,0.7274246004479744,0.864,0.8047,0.4826,0.6998
49,1.0823622888215974,0.32119115530970244,0.7611711335118949,1.0609262947230458,0.3370016631657397,0.7239246315573061,0.8584,0.7997,0.4741,0.6999
