Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,18.9948,0.8471,2.1482,0.7937,0.9724,0.7937,0.8603,0.9946,0.7871
2,0.2415,0.8855,1.0046,0.7972,0.9725,0.7972,0.8626,0.9969,0.7907
3,0.0859,0.8907,0.7478,0.8190,0.9730,0.8190,0.8767,0.9977,0.8131
4,0.0526,0.9081,0.6518,0.8452,0.9736,0.8452,0.8934,0.9969,0.8402
5,0.0374,0.9204,0.5421,0.8640,0.9742,0.8640,0.9053,0.9969,0.8596
6,0.0292,0.9291,0.4996,0.8750,0.9746,0.8750,0.9122,0.9969,0.8710
7,0.0252,0.9355,0.4600,0.8819,0.9749,0.8819,0.9165,0.9954,0.8781
8,0.0225,0.9414,0.3889,0.8972,0.9756,0.8972,0.9261,0.9954,0.8940
9,0.0207,0.9428,0.4401,0.8869,0.9751,0.8869,0.9196,0.9962,0.8833
10,0.0193,0.9421,0.3203,0.9066,0.9761,0.9066,0.9321,0.9939,0.9038
11,0.0166,0.9521,0.2859,0.9142,0.9767,0.9142,0.9369,0.9946,0.9115
12,0.0160,0.9536,0.3095,0.9176,0.9769,0.9176,0.9390,0.9946,0.9151
13,0.0149,0.9556,0.2553,0.9160,0.9768,0.9160,0.9380,0.9939,0.9135
14,0.0135,0.9595,0.2462,0.9364,0.9786,0.9364,0.9512,0.9916,0.9346
15,0.0127,0.9644,0.2412,0.9348,0.9784,0.9348,0.9502,0.9931,0.9329
16,0.0137,0.9568,0.2515,0.9268,0.9777,0.9268,0.9450,0.9931,0.9247
17,0.0115,0.9637,0.1888,0.9478,0.9800,0.9478,0.9588,0.9916,0.9464
18,0.0119,0.9584,0.2004,0.9299,0.9780,0.9299,0.9470,0.9939,0.9278
19,0.0104,0.9638,0.1820,0.9388,0.9789,0.9388,0.9528,0.9939,0.9370
20,0.0102,0.9659,0.2142,0.9193,0.9771,0.9193,0.9401,0.9962,0.9168
21,0.0105,0.9597,0.1926,0.9366,0.9787,0.9366,0.9514,0.9946,0.9347
22,0.0093,0.9692,0.1690,0.9472,0.9799,0.9472,0.9584,0.9923,0.9457
23,0.0089,0.9716,0.1656,0.9482,0.9801,0.9482,0.9591,0.9931,0.9468
24,0.0084,0.9741,0.1592,0.9525,0.9808,0.9525,0.9621,0.9931,0.9512
25,0.0081,0.9759,0.1444,0.9571,0.9814,0.9571,0.9652,0.9900,0.9560
26,0.0102,0.9644,0.1667,0.9391,0.9789,0.9391,0.9530,0.9931,0.9374
27,0.0087,0.9676,0.1457,0.9472,0.9799,0.9472,0.9584,0.9916,0.9457
28,0.0082,0.9720,0.1478,0.9503,0.9804,0.9503,0.9605,0.9923,0.9489
29,0.0077,0.9740,0.1454,0.9546,0.9811,0.9546,0.9635,0.9923,0.9533
30,0.0075,0.9757,0.1482,0.9526,0.9807,0.9526,0.9621,0.9908,0.9514
